Title,Authors,Abstract,Notes,Inc/Exc,Year,Source title,Volume,Issue,Database
"11th International Conference on E-Learning and Games, Edutainment 2017",[No author name available],The proceedings contain 35 papers. The special focus in this conference is on E-Learning and Games. The topics include: Application of Virtual Simulation Technology in Maintenance Training; the Gamification of Cybersecurity Training; 3D Point Cloud Classification Based on Discrete Conditional Random Field; lightweight Web3D Visualization Framework Using Dijkstra-Based Mesh Segmentation; dynamic Gesture Recognition Based on Edge Feature Enhancement Using Sobel Operator; how Can 3D Game Engines Create Photo-Realistic Interactive Architectural Visualizations?; an Efficient Human Body Contour Extraction Method for Mobile Apps; a Study into Autonomous Scanning for 3D Model Construction; an Improved Augmented Reality Registration Method Based on Visual SLAM; the Analysis and Creation of Mogao Caves’ Three-Dimensional Model; spherical Hybrid Curvature Images of 3D Shapes and Its Applications; webPainter: Collaborative Stroke-Based Rendering Through HTML5 and WebGL; digital Visualization of Design and Construction Process of Traditional Village Dwellings; gPGPU-Based Painterly Rendering for Mobile Environment; generating Stained Glass Animation; web3d Learning Platform of Furniture Layout Based on Case-Based Reasoning and Distance Field; what’s Wrong with the Feedback?; a Measure of Student Engagement for Serious Games and IoT; implementation of the Unity Engine for Developing 2D Mobile Games in Consideration of Start-Up/Student Developers; tenochtitlan - An Interactive Virtual Reality Environment that Encourages Museum Exhibit Engagement; game-Enhanced and Process-Based e-Learning Framework; mobility and Edutainment in ESL Learning via Podcasting; young Peoples’ Views of Online Historical Archives; research on Multidisciplinary Integration in Game Art Higher Education; exploring the Shape of Digital Textbook for the Classroom in the Mobile Age.,"Inclusion:
Exclusion:
  - Conference Proceedings
Research Question:",EXC,2017,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10345 LNCS,,Scopus
"14th International Conference on Human-Computer Interaction, HCI International 2011",[No author name available],"The proceedings contain 292 papers. The special focus in this conference is on Human-Computer Interaction. The topics include: Using grounded theory and text mining to find interesting reading materials for slow EFL learners; CAI platform for fundamental geometric training on perspective sketching; a reading history logger for supporting reading habit development; a drawing learning support system with auto-evaluating function based on the drawing process model; Interactions between human and computer networks: EFL college students using computer learning tools in remedial English classes; proposal of collaborative learning support method in risk communications; evaluation of online handwritten characters for penmanship learning support system; facial expression recognition for learning status analysis; an enriched understanding of why the environment and individual characteristics are important in understanding technology utilization in healthcare: An evolutionary psychology perspective; introducing mobility in serious games: Enhancing situated and collaborative learning; A real-time interactive MIDI glove for domicile stroke rehabilitation; what label design of ampule for injection, do you want?; the design of an interactive stroke rehabilitation gaming system; therapeutic category improvement method based on the words appearing in effect-efficacy description; clinical communication: Human-computer and human-human interactions; head-pose recognition for a game system based on nose’s relative position; creating a new context for activity in blended learning environments: Engaging the twitchy fingers; construction and analysis of database on outer cases of medicines; self replicating robotic strategies as a catalyst for autonomous architectural construction; using a smart phone for information rendering in computer-aided surgery; using pen-based computing in technology for health.","Inclusion:
Exclusion:
  - Conference Proceedings
Research Question:",EXC,2011,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),6761 LNCS,,Scopus
"14th International Conference on Intelligent Tutoring Systems, ITS 2018",[No author name available],"The proceedings contain 46 papers. The special focus in this conference is on Intelligent Tutoring Systems. The topics include: A framework to recommend appropriate learning materials from stack overflow discussions; what does it mean to provide the right level of support during tutorial dialogue?; building student models in a non-scaffolded testing environment; applying human-agent team concepts to the design of intelligent team tutoring systems; concept-based learning in blended environments using intelligent tutoring systems; diagnosing reading deficiencies of adults with low literacy skills in an intelligent tutoring system; Everycoding: Combination of ITS and (m)OOC for programming education; adaptive virtual tutor based on the inference of the student’s memory content; metamentor: A system designed to study, teach, train, and foster self-regulated learning for students and experts using their multimodal data visualizations; preliminary evaluation of a serious game for socio-moral reasoning; iMoodle: An intelligent moodle based on learning analytics; analysis and optimization of brain behavior in a virtual reality environment; Enhancing EFL students’ collaboration in a blended learning environment: A design-based research; leveraging mutual theory of mind for more human-like intelligent tutoring systems; effect of learning support system for feature words on group learning; a new approach to testing children with autism spectrum disorder using affect; online course design to support learning analytics in facilitating personalized academic help; C&C@ITS2018: International workshop on context and culture in intelligent tutoring systems; learning analytics: Building bridges between the education and the computing communities; what can eye movement patterns reveal about learners’ performance?; optimizing human learning; preface.","Inclusion:
Exclusion:
  - Conference Proceedings
Research Question:",EXC,2018,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10858 LNCS,,Scopus
"3rd International Conference on Games and Learning Alliance, GALA 2014",[No author name available],"The proceedings contain 17 papers. The special focus in this conference is on Games and Learning Alliance. The topics include: The next generation of cultural artifacts; investigating the deployment of serious games in secondary education; identifying pedagogical uses of serious games for learning English as a second language; mobile game-based learning for non routine skills; multiplayer serious games and user experience; a comparison between paper-based and digital gaming experience; an analysis and a proposal for its application in co-design processes; a conceptual model towards the scaffolding of learning experience; a service-based adaptive serious game on probability; improved multimodal emotion recognition for better game-based learning; serious games opportunities for the primary education curriculum in Quebec; game design and development for learning physics using the flow framework; a social network trainer for children with depression; using avatars for course management and immersion and serious game mechanics, workshop on the ludo-pedagogical mechanism.","Inclusion:
Exclusion:
  - Conference Proceedings
Research Question:",EXC,2015,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),9221,,Scopus
"4th International Conference on Technologies and Innovation, CITI 2018",[No author name available],"The proceedings contain 21 papers. The special focus in this conference is on Technologies and Innovation. The topics include: An intelligent information system prototype to facilitate healthy alimentation; concept identification from single-documents; description and analysis of design decisions: An ontological approach; analysis of traditional web security solutions and proposal of a web attacks cognitive patterns classifier architecture; sePoMa: Semantic-based data analysis for political marketing; neuromarketing and facial recognition: A systematic literature review; opinion mining for measuring the social perception of infectious diseases. an infodemiology approach; early Alert Infrastructure for Earthquakes Through Mobile Technologies, Web, and Cloud Computing; funprog: A gamification-based platform for higher education; use of technologies of image recognition in agriculture: Systematic review of literature; advanced semantics processing-based information system to support english learning; sentiment analysis in education domain: A systematic literature review; Monitoring system for shrimp farming: A case study of CAMASIG S.A.; blockchain in agriculture: A systematic literature review; mobile applications for crops management; SE-DiagEnf: An ontology-based expert system for cattle disease diagnosis; architecture of a meteorological data management system based on the analysis of webmapping tools; study of the maturity of information security in public organizations of Ecuador; Evaluation of the computation times for direct and iterative resolution methods of MTJ library matrices applied in a thermal simulation system.","Inclusion:
Exclusion:
  - Conference Proceedings
Research Question:",EXC,2018,Communications in Computer and Information Science,883,,Scopus
A boosting algorithm to implement a mobile APP-based language learning system,"Chen W.-L., Wu Y.-C., Yang J.C.","In this study, we proposed a mobile APP-based system which integrates story-based animations and simulation quizzes for English learning. Users could interact with both components of the app. The story-based animation component provides the function of word/phrase reading which displays short animation clips. For the simulation quiz component, a number of simulated quizzes are presented. The app automatically displays the scores obtained upon completion of the quiz, and regenerates another quiz based on the student's performance in the preceding quiz and the proposed boosting algorithm. To evaluate the effectiveness of the system, we conducted an experiment which compares the proposed system with traditional class-based learning. The results of the experiment show that the proposed mobile learning system yields superior scores to the control group. The results suggest the APP-based learning is helpful for students to improve their English skills. Statistical analyses demonstrate that the proposed APP-based system significantly outperforms the control group. Finally, the satisfaction survey also showed that users are highly satisfied with the mobile APP-based language learning system.",404,404,2015,"Proceedings of the 23rd International Conference on Computers in Education, ICCE 2015",,,Scopus
A Flipped Contextual Game-Based Learning Approach to Enhancing EFL Students' English Business Writing Performance and Reflective Behaviors,"Lin, Chi-Jen; Hwang, Gwo-Jen; Fu, Qing-Ke; Chen, Jing-Fang","English business writing is an important and challenging course for English as Foreign Language (EFL) students since it is not only related to English writing skills, but also to business knowledge. Context-gamebased learning seems to be a good approach to situating students in a meaningful and interesting practicing environment, which could improve their learning motivation and interest. However, without interacting with the teacher and peers, the effectiveness of game-based learning could be limited. In this study, a flipped contextual game-based learning approach was proposed to cope with this problem; moreover, a mixed methods research approach was used to analyze the writing performance, writing errors, and reflective content of the students who learned with the proposed approach and those learning with conventional contextual game-based learning. The experimental results revealed that the flipped contextual game-based instruction was able to enhance the students' English writing performance. It was also found that those students with the flipped learning approach had fewer writing errors than those learning with the conventional approach. Moreover, by analyzing the students' reflective content, the benefits and challenges of flipping the classroom are reported. These findings could be valuable references for those who intend to conduct effective flipped contextual game-based learning with learning management systems to motivate students' game-based learning and to improve their language learning performance.","Inclusion:
  - Game based learning
  - English teaching
  - Results validation
Exclusion:
Research Question:
  - Elements:
    - Mixed approach
    - RPG
    - Story-based
    - Teacher interface
    - Narrated native language
    - Q&A in English
    - Access instructional Material
  - Validation:
    - Experiment/Control groups
    - Pre/Post tests
    - Survey:
      - Usefulness
      - Satisfaction
      - Motivation
      - Negative flow
  - Results:
    - It was inferable that the flipped contextual game-based learning approach outperformed the conventional game-based learning approach regarding facilitating undergraduate students’ business writing.
    - It seems that more students learning with the flipped classroom gave positive feedback regarding satisfaction and motivation, while at the same time having more negative flow than those learning with the conventional approach.",INC,2018,EDUCATIONAL TECHNOLOGY & SOCIETY,21,3,WOS
A game-based learning model for English classes in a secondary school,"Pogrebnyi A., Prasad P.W.C., Alsadoon A., Singh A.K., Elchouemi A.",This pilot paper presents a newly enhanced Model of Game-Based Learning (GBL) for English learners in high school. The extension was made based on modified GBL integration steps. The presented model also incorporated the results of the impact of GBL on English skill performance and a survey on teachers' perceptions of using GBL in English teaching and learning. A survey was conducted to examine the impact targeting 32 high school English teachers from 6 countries. The teachers were approached through the SurveyMonkey email distribution. The implications and limitations of the implementation of the model will be discussed in the conclusion. © 2016 IEEE.,"Inclusion:
  - Game based learning
  - English teaching
Exclusion:
  - No validation
  - Teachers survey
Research Question:
  - Elements:
    - Info sharing
    - Clear goals
    - Feedback
    - Competition
    - Off-school access
    - Friendly UI
    - Freedom
    - Allow mistakes
  - Validation:
    - No
  - Results:
    - No",EXC,2016,"Proceedings - 2016 International Conference on Advances in Computing, Communication and Automation (Fall), ICACCA 2016",,,Scopus
A gamified community for fostering learning engagement towards preventing Early school leaving,"Tsalapatas H., Heidmann O., Alimisi R., Koutsaftikis D., Tsalapatas S., Houstis E.","Early school leaving is a complex phenomenon that may adversely affect on a learner’s future development. ESL is the result of a combination of factors, such as insufficient school curricula understanding, low value placed on education by families, unavailability or low capacity of parents to support learners in schooling, insufficient parent-teacher-learner communication, and more. Many factors are socio-economic and are related to the extended social environment of learners. This work aims at strengthening the ties of school networks aiming at preventing ESL risk factors to set root in a learner’s life through early interventions that start in primary school. This is pursued through a gamified school community and supporting gamified complementary to school curricula learning activities that aim at fostering engagement of parents, teachers, and learners. The community promotes a sense of affiliation, opens-up communication channels, and promotes a positive school environment for the benefit of learners and their parents. © ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2016.","Inclusion:
Exclusion:
  - One Topic
  - Not Related
Research Question:",EXC,2016,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST",161,,Scopus
A Mahjong-like game of English vocabulary spelling,"Tsai C.-Y., Hsu J.-M., Tsai H.-H., Yu P.-T., Huang W.-F.","With rapid development of the world globalization, the role of English has become an international language for people conversation. In fact, people know it but they often have no good ways to learn English efficiently. Sometimes, some people think that the procedure of learning English is boring. Therefore, it is an important issue how to engage and encourage people to effectively learn English. Many researches and experiments had indicated that the game-based learning is a joyful approach for learning. Chinese Mahjong is a traditional Chinese game for gambling and entertainment. The game rule of Mahjong is to collect the related cards combining a card sequence or the same cards in a triple pair. In the same, spelling the English vocabulary is also combined the letters to form a word. Thus, this paper tries to design and implement a Mahjong-like multi-party game spelling the English vocabulary for learners in English learning. That is, the learners play the game with other peer learners via the Internet to promote their spelling abilities of English vocabulary in multi-party networked game. © 2014 Springer International Publishing.","Inclusion:
  - Game based learning
  - English teaching
Exclusion:
  - No validation
Research Question:
  - Elements:
    - Spelling game
    - Based on a board game called Mahjong
    - Build words with a set of given letters
    - Competition with partners
    - Competitive learning
    - Cooperative learning",EXC,2014,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),8595 LNCS,,Scopus
