Title,Notes,Inc/Exc
"11th International Conference on E-Learning and Games, Edutainment 2017","Inclusion:
Exclusion:
  - Conference Proceedings
Research Question:",EXC
"14th International Conference on Human-Computer Interaction, HCI International 2011","Inclusion:
Exclusion:
  - Conference Proceedings
Research Question:",EXC
"14th International Conference on Intelligent Tutoring Systems, ITS 2018","Inclusion:
Exclusion:
  - Conference Proceedings
Research Question:",EXC
"3rd International Conference on Games and Learning Alliance, GALA 2014","Inclusion:
Exclusion:
  - Conference Proceedings
Research Question:",EXC
"4th International Conference on Technologies and Innovation, CITI 2018","Inclusion:
Exclusion:
  - Conference Proceedings
Research Question:",EXC
A boosting algorithm to implement a mobile APP-based language learning system,,404
A Flipped Contextual Game-Based Learning Approach to Enhancing EFL Students' English Business Writing Performance and Reflective Behaviors,"Inclusion:
  - Game based learning
  - English teaching
  - Results validation
Exclusion:
Research Question:
  - Elements:
    - Mixed approach
    - RPG
    - Story-based
    - Teacher interface
    - Narrated native language
    - Q&A in English
    - Access instructional Material
  - Validation:
    - Experiment/Control groups
    - Pre/Post tests
    - Survey:
      - Usefulness
      - Satisfaction
      - Motivation
      - Negative flow
  - Results:
    - It was inferable that the flipped contextual game-based learning approach outperformed the conventional game-based learning approach regarding facilitating undergraduate students’ business writing.
    - It seems that more students learning with the flipped classroom gave positive feedback regarding satisfaction and motivation, while at the same time having more negative flow than those learning with the conventional approach.",INC
A game-based learning model for English classes in a secondary school,"Inclusion:
  - Game based learning
  - English teaching
Exclusion:
  - No validation
  - Teachers survey
Research Question:
  - Elements:
    - Info sharing
    - Clear goals
    - Feedback
    - Competition
    - Off-school access
    - Friendly UI
    - Freedom
    - Allow mistakes
  - Validation:
    - No
  - Results:
    - No",INC
A gamified community for fostering learning engagement towards preventing Early school leaving,"Inclusion:
Exclusion:
  - One Topic
  - Not Related
Research Question:",EXC
A Mahjong-like game of English vocabulary spelling,"Inclusion:
  - Game based learning
  - English teaching
Exclusion:
  - No validation
Research Question:
  - Elements:
    - Spelling game
    - Based on a board game called Mahjong
    - Build words with a set of given letters
    - Competition with partners
    - Competitive learning
    - Cooperative learning
  - Validation:
  - Results:",INC
A Mobile Game-Based English Vocabulary Practice System Based on Portfolio Analysis,"Inclusion:
  - Game based learning
  - English teaching
  - Validation
Exclusion:
Research Question:
  - Elements:
    - Mobile
    - Scoring
    - Ranking
    - Block-clearing game
    - vocabulary, sentences and listening
    - Database to save students interactions data
  - Validation:
    - 3 groups, one playing the game
    - Pre/Post tests
  - Results:
    - Anxiety reduced
    - Understanding enhanced",INC
A mobile instructional pervasive game method for language learning,"Inclusion:
  - Game based learning
  - English teaching
  - Validation
  - Pervasive game
  - Geo located
  - Mobile
Exclusion:
Research Question:
  - Elements:
    - Map route
    - Multiple choice
    - Feedback
    - QR Codes
    - Capture flag
  - Validation:
    - Experiment/Control group
    - Pre/Post tests
    - Survey
  - Results:
    - Similar prior knowledge
    - Significant effect
    - Intense and focused learning atmosphere",INC
A physical interactive game for learning English of children,"Inclusion:
Exclusion:
  - One Topic
  - Not Related
Research Question:",EXC
A study on integrating augmented reality technology and game-based learning model to improve motivation and effectiveness of learning English vocabulary,"Inclusion:
  - Game based learning
  - English teaching
  - Augmented reality
  - Mobile
Exclusion:
Research Question:
  - Elements:
    - ARCS (Attention, Relevance, Confidence, Satisfaction)
    - Present theoretical ideas but not implementation approach
  - Validation:
    - Experiment/Control group
    - Pre/Post tests
    - Survey
  - Results:
    - Stronger motivation
    - Achieve higher effectiveness",INC
Adaptive systems as enablers of feedback in English language learning game-based environments,"Inclusion:
Exclusion:
  - Review
Research Question:
  - Elements:
    - Feedback strategy
  - Validation:
  - Results:",INC
Affect and willingness to communicate in digital game-based learning,"Inclusion:
Exclusion:
  - Review
  - Interviews
Research Question:",EXC
An Efficient Spectral Element Model with Electric DOFs for the Static and Dynamic Analysis of a Piezoelectric Bimorph,"Inclusion:
Exclusion:
  - Not Related
Research Question:",EXC
An English Learning Method Based on Computer-assisted System,"Inclusion:
Exclusion:
  - Validation
Research Question:
  - Elements:
    - No clearly described
  - Validation:
  - Results:",INC
An Investigation of Game-Embedded Handheld Devices to Enhance English Learning,"Inclusion:
  - Game based learning
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - Board game
    - Collaboration
    - Communication
    - Competitive
    - Student and teacher client
    - Words building
  - Validation:
    - Experimental/Control group
    - Survey
  - Results:
    - Lead the learners into better immersion and interactions
    - Participating and engaging in English learning",INC
